target,condition,metric,fresh,pretrained,delta,ci_low,ci_high,p,d
hazard,random_compatibility,first_task_success_tick,8.845,10.855,2.01,1.035235,2.984765,5.3e-05,0.285784
hazard,random_compatibility,task_completion_rate,0.765,0.55,-0.215,-0.302739,-0.127261,2e-06,-0.339614
hazard,random_compatibility,contradictions,0.815,0.435,-0.38,-0.499165,-0.260835,0.0,-0.441951
hazard,random_compatibility,reward,5.41385,3.90725,-1.5066,-2.045032,-0.968168,0.0,-0.387801
hazard,random_compatibility,invalid_actions,0.815,0.435,-0.38,-0.499165,-0.260835,0.0,-0.441951
hazard,random_compatibility,final_energy,99.96885,143.67325,43.7044,42.02194,45.38686,0.0,3.600157
hazard,random_compatibility,prediction_error,0.683851,0.427478,-0.256373,-0.324609,-0.188138,0.0,-0.520721
hazard,random_compatibility,transfer_uses,6.235,23.885,17.65,16.825583,18.474417,0.0,2.967144
hazard,random_compatibility,transfer_strength,32.99565,92.621338,59.625687,52.47156,66.779815,0.0,1.155095
hazard,random_compatibility,transfer_precision,0.884845,0.971,0.086155,0.046435,0.125875,2.1e-05,0.300615
hazard,random_compatibility,learned_table_size,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hazard,random_compatibility,learned_total_observations,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hazard,random_compatibility,learned_mean_score,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hazard,no_compatibility,first_task_success_tick,8.845,10.74,1.895,0.92765,2.86235,0.000123,0.271498
hazard,no_compatibility,task_completion_rate,0.765,0.55,-0.215,-0.300511,-0.129489,1e-06,-0.348465
hazard,no_compatibility,contradictions,0.825,0.435,-0.39,-0.511754,-0.268246,0.0,-0.44394
hazard,no_compatibility,reward,5.44515,3.98825,-1.4569,-1.984067,-0.929733,0.0,-0.383021
hazard,no_compatibility,invalid_actions,0.825,0.435,-0.39,-0.511754,-0.268246,0.0,-0.44394
hazard,no_compatibility,final_energy,99.97015,143.72625,43.7561,41.973903,45.538297,0.0,3.402702
hazard,no_compatibility,prediction_error,0.688437,0.434578,-0.253859,-0.321333,-0.186385,0.0,-0.52143
hazard,no_compatibility,transfer_uses,6.24,24.245,18.005,17.164725,18.845275,0.0,2.9697
hazard,no_compatibility,transfer_strength,24.701985,45.462798,20.760813,16.628945,24.892681,0.0,0.696368
hazard,no_compatibility,transfer_precision,0.880034,0.970157,0.090123,0.050034,0.130211,1.1e-05,0.311571
hazard,no_compatibility,learned_table_size,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hazard,no_compatibility,learned_total_observations,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hazard,no_compatibility,learned_mean_score,0.0,0.0,0.0,0.0,0.0,1.0,0.0
